survived,age,sex,fare
1,24,female,69.3
0,2,female,27.9
1,0.75,female,19.2583
1,48,male,76.7292
0,19,male,7.8958
1,56,male,35.5
1,23,female,7.55
1,18,female,23
0,21,male,8.4333
0,18,female,6.75
0,24,male,73.5
0,32,female,15.5
0,23,male,13
0,58,male,113.275
1,50,male,133.65
0,40,male,7.225
0,47,male,25.5875
0,36,male,7.4958
1,20,male,7.925
0,32,male,73.5
0,25,male,13
0,43,male,8.05
1,40,female,39
0,31,male,52
0,70,male,10.5
1,31,male,13
0,18,male,7.775
0,24.5,male,8.05
1,18,female,9.8417
0,43,female,46.9
1,36,male,512.3292
1,27,male,76.7292
0,20,male,9.225
0,14,male,46.9
0,60,male,39
0,25,male,41.5792
0,14,male,39.6875
0,19,male,10.1708
0,18,male,7.7958
1,15,female,211.3375
1,31,male,57
1,4,female,13.4167
0,25,male,7.225
0,60,male,26.55
0,52,male,13.5
0,44,male,8.05
0,49,male,110.8833
0,42,male,7.65
1,18,female,227.525
1,35,male,26.2875
0,18,female,14.4542
0,25,male,7.7417
0,26,male,7.8542
0,39,male,26
1,45,female,13.5
1,42,male,26.2875
1,22,female,151.55
1,24,female,49.5042
1,48,male,52
0,29,male,9.4833
0,52,male,13
0,19,male,7.65
1,38,female,227.525
1,27,female,10.5
0,33,male,7.775
1,6,female,33
0,17,male,7.0542
0,34,male,13
0,50,male,13
1,27,male,53.1
0,20,male,8.6625
1,30,female,21
0,25,male,26
0,25,female,7.925
1,29,female,211.3375
0,11,male,18.7875
0,23,male,13
0,23,male,13
0,28.5,male,16.1
0,48,female,34.375
1,35,male,512.3292
0,36,male,78.85
1,21,female,262.375
0,24,male,16.1
1,31,male,7.925
0,70,male,71
0,16,male,20.25
1,30,female,13
0,19,male,53.1
0,31,male,7.75
1,4,female,23
1,6,male,12.475
0,33,male,9.5
0,23,male,7.8958
1,48,female,65
1,0.67,male,14.5
0,28,male,7.7958
0,18,male,11.5
0,34,male,8.05
1,33,female,86.5
0,41,male,7.125
1,20,male,7.2292
1,36,female,120
0,16,male,7.775
1,51,female,77.9583
0,30.5,female,7.75
0,32,male,8.3625
0,24,male,9.5
0,48,male,7.8542
0,57,female,10.5
1,54,female,23
0,18,male,7.75
1,5,female,12.475
1,43,female,211.3375
1,13,female,7.2292
1,17,female,57
0,29,male,30
0,25,male,7.05
0,25,male,7.25
1,18,female,7.4958
0,8,male,29.125
1,1,male,20.575
0,46,male,79.2
0,16,male,26
0,25,male,7.8958
0,39,male,13
1,49,female,25.9292
1,31,female,8.6833
0,30,male,7.2292
0,30,female,24.15
0,34,male,13
1,31,female,26.25
1,11,male,120
1,0.42,male,8.5167
1,27,male,6.975
0,31,male,7.775
0,39,male,0
0,18,female,7.775
0,39,male,13
1,33,female,53.1
0,26,male,7.8875
0,39,male,24.15
0,35,male,10.5
0,6,female,31.275
0,30.5,male,8.05
0,23,female,7.925
0,31,male,37.0042
0,43,male,6.45
0,10,male,27.9
1,52,female,93.5
1,27,male,8.6625
0,38,male,0
1,27,female,12.475
0,2,male,39.6875
1,1,male,37.0042
1,62,female,80
1,15,female,14.4542
1,0.83,male,18.75
0,23,male,7.8542
0,18,male,8.3
1,39,female,83.1583
0,21,male,8.6625
1,32,male,56.4958
0,20,male,7.925
0,16,male,10.5
1,30,female,31
0,34.5,male,6.4375
0,17,male,8.6625
0,42,male,7.55
0,35,male,7.8958
0,28,male,33
0,4,male,31.275
0,74,male,7.775
0,9,female,15.2458
1,16,female,39.4
0,44,female,26
1,18,female,9.35
1,45,female,164.8667
1,51,male,26.55
1,24,female,19.2583
0,41,male,14.1083
0,21,male,11.5
1,48,female,25.9292
0,24,male,13
1,42,female,13
1,27,female,13.8583
0,31,male,50.4958
1,4,male,11.1333
0,26,male,7.8958
1,47,female,52.5542
0,33,male,5
0,47,male,9
1,28,female,24
1,15,female,7.225
0,20,male,9.8458
0,19,male,7.8958
1,56,female,83.1583
1,25,female,26
0,33,male,7.8958
0,22,female,10.5167
0,28,male,10.5
0,25,male,7.05
0,39,female,29.125
0,27,male,13
1,19,female,30
1,26,male,30
0,32,male,7.75
